Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,a,yangon,member,female,health and beauty,74.69,7.0,26.1415,548.9715,13:08,ewallet,522.83,4.761904762,26.1415,9.1
226-31-3081,c,naypyitaw,normal,female,electronic accessories,15.28,5.0,3.82,80.22,10:29,cash,76.4,4.761904762,3.82,9.6
631-41-3108,a,yangon,normal,male,home and lifestyle,46.33,7.0,16.2155,340.5255,13:23,credit card,324.31,4.761904762,16.2155,7.4
123-19-1176,a,yangon,member,male,health and beauty,58.22,8.0,23.288,489.048,20:33,ewallet,465.76,4.761904762,23.288,8.4
373-73-7910,a,yangon,normal,male,sports and travel,86.31,7.0,30.2085,634.3785,10:37,ewallet,604.17,4.761904762,30.2085,5.3
699-14-3026,c,naypyitaw,normal,male,electronic accessories,85.39,7.0,29.8865,627.6165,18:30,ewallet,597.73,4.761904762,29.8865,4.1
355-53-5943,a,yangon,member,female,electronic accessories,68.84,6.0,20.652,433.692,14:36,ewallet,413.04,4.761904762,20.652,5.8
315-22-5665,c,naypyitaw,normal,female,home and lifestyle,73.56,10.0,36.78,772.38,11:38,ewallet,735.6,4.761904762,36.78,8.0
665-32-9167,a,yangon,member,female,health and beauty,36.26,2.0,3.626,76.146,17:15,credit card,72.52,4.761904762,3.626,7.2
692-92-5582,b,mandalay,member,female,food and beverages,54.84,3.0,8.226,172.746,13:27,credit card,164.52,4.761904762,8.226,5.9
351-62-0822,b,mandalay,member,female,fashion accessories,14.48,4.0,2.896,60.816,18:07,ewallet,57.92,4.761904762,2.896,4.5
529-56-3974,b,mandalay,member,male,electronic accessories,25.51,4.0,5.102,107.142,17:03,cash,102.04,4.761904762,5.102,6.8
365-64-0515,a,yangon,normal,female,electronic accessories,46.95,5.0,11.7375,246.4875,10:25,ewallet,234.75,4.761904762,11.7375,7.1
252-56-2699,a,yangon,normal,male,food and beverages,43.19,10.0,21.595,453.495,16:48,ewallet,431.9,4.761904762,21.595,8.2
829-34-3910,a,yangon,normal,female,health and beauty,71.38,10.0,35.69,749.49,19:21,cash,713.8,4.761904762,35.69,5.7
299-46-1805,b,mandalay,member,female,sports and travel,93.72,6.0,28.116,590.436,16:19,cash,562.32,4.761904762,28.116,4.5
656-95-9349,a,yangon,member,female,health and beauty,68.93,7.0,24.1255,506.6355,11:03,credit card,482.51,4.761904762,24.1255,4.6
765-26-6951,a,yangon,normal,male,sports and travel,72.61,6.0,21.783,457.443,10:39,credit card,435.66,4.761904762,21.783,6.9
329-62-1586,a,yangon,normal,male,food and beverages,54.67,3.0,8.2005,172.2105,18:00,credit card,164.01,4.761904762,8.2005,8.6
319-50-3348,b,mandalay,normal,female,home and lifestyle,40.3,2.0,4.03,84.63,15:30,ewallet,80.6,4.761904762,4.03,4.4
300-71-4605,c,naypyitaw,member,male,electronic accessories,86.04,5.0,21.51,451.71,11:24,ewallet,430.2,4.761904762,21.51,4.8
371-85-5789,b,mandalay,normal,male,health and beauty,87.98,3.0,13.197,277.137,10:40,ewallet,263.94,4.761904762,13.197,5.1
273-16-6619,b,mandalay,normal,male,home and lifestyle,33.2,2.0,3.32,69.72,12:20,credit card,66.4,4.761904762,3.32,4.4
636-48-8204,a,yangon,normal,male,electronic accessories,34.56,5.0,8.64,181.44,11:15,ewallet,172.8,4.761904762,8.64,9.9
549-59-1358,a,yangon,member,male,sports and travel,88.63,3.0,13.2945,279.1845,17:36,ewallet,265.89,4.761904762,13.2945,6.0
227-03-5010,a,yangon,member,female,home and lifestyle,52.59,8.0,21.036,441.756,19:20,credit card,420.72,4.761904762,21.036,8.5
649-29-6775,b,mandalay,normal,male,fashion accessories,33.52,1.0,1.676,35.196,15:31,cash,33.52,4.761904762,1.676,6.7
189-17-4241,a,yangon,normal,female,fashion accessories,87.67,2.0,8.767,184.107,12:17,credit card,175.34,4.761904762,8.767,7.7
